MULTICAST -----> udp://@225.1.1.19 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:57|INFORMATION_RECEIVED udp://@225.1.1.19:2000
MULTICAST -----> udp://@225.1.1.19 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:57|STATUS_PLAYING udp://@225.1.1.19:2000
MULTICAST -----> udp://@225.1.1.80 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:59|INFORMATION_RECEIVED udp://@225.1.1.80:2000
MULTICAST -----> udp://@225.1.1.80 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:59|STATUS_PLAYING udp://@225.1.1.80:2000
MULTICAST -----> udp://@225.1.1.20 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:1|INFORMATION_RECEIVED udp://@225.1.1.20:2000
MULTICAST -----> udp://@225.1.1.20 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:1|STATUS_PLAYING udp://@225.1.1.20:2000
MULTICAST -----> udp://@225.1.1.21 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:2|INFORMATION_RECEIVED udp://@225.1.1.21:2000
MULTICAST -----> udp://@225.1.1.21 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:2|STATUS_PLAYING udp://@225.1.1.21:2000
MULTICAST -----> udp://@225.1.1.22 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:4|INFORMATION_RECEIVED udp://@225.1.1.22:2000
MULTICAST -----> udp://@225.1.1.22 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:4|STATUS_PLAYING udp://@225.1.1.22:2000
MULTICAST -----> udp://@225.1.1.78 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:5|INFORMATION_RECEIVED udp://@225.1.1.78:2000
MULTICAST -----> udp://@225.1.1.78 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:5|STATUS_PLAYING udp://@225.1.1.78:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:7|INFORMATION_RECEIVED udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:7|STATUS_PLAYING udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.24 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:9|INFORMATION_RECEIVED udp://@225.1.1.24:2000
MULTICAST -----> udp://@225.1.1.24 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:9|STATUS_PLAYING udp://@225.1.1.24:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:14|INFORMATION_RECEIVED udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:14|STATUS_PLAYING udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.78 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:16|INFORMATION_RECEIVED udp://@225.1.1.78:2000
MULTICAST -----> udp://@225.1.1.78 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:17|STATUS_PLAYING udp://@225.1.1.78:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:19|INFORMATION_RECEIVED udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.23 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:19|STATUS_PLAYING udp://@225.1.1.23:2000
MULTICAST -----> udp://@225.1.1.24 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:21|INFORMATION_RECEIVED udp://@225.1.1.24:2000
MULTICAST -----> udp://@225.1.1.24 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:21|STATUS_PLAYING udp://@225.1.1.24:2000
MULTICAST -----> udp://@225.1.1.25 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:30|INFORMATION_RECEIVED udp://@225.1.1.25:2000
MULTICAST -----> udp://@225.1.1.25 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:30|STATUS_PLAYING udp://@225.1.1.25:2000
MULTICAST -----> udp://@225.1.1.26 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:31|INFORMATION_RECEIVED udp://@225.1.1.26:2000
MULTICAST -----> udp://@225.1.1.26 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:31|STATUS_PLAYING udp://@225.1.1.26:2000
MULTICAST -----> udp://@225.1.1.27 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:44|INFORMATION_RECEIVED udp://@225.1.1.27:2000
MULTICAST -----> udp://@225.1.1.27 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:45|STATUS_PLAYING udp://@225.1.1.27:2000
MULTICAST -----> udp://@225.1.1.87 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:46|INFORMATION_RECEIVED udp://@225.1.1.87:2000
MULTICAST -----> udp://@225.1.1.87 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:46|STATUS_PLAYING udp://@225.1.1.87:2000
MULTICAST -----> udp://@225.1.1.28 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:47|INFORMATION_RECEIVED udp://@225.1.1.28:2000
MULTICAST -----> udp://@225.1.1.28 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:48|STATUS_PLAYING udp://@225.1.1.28:2000
MULTICAST -----> udp://@225.1.1.29 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:49|INFORMATION_RECEIVED udp://@225.1.1.29:2000
MULTICAST -----> udp://@225.1.1.29 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:49|STATUS_PLAYING udp://@225.1.1.29:2000
MULTICAST -----> udp://@225.1.1.49 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:33:51|INFORMATION_RECEIVED udp://@225.1.1.49:2000
